index,ticker,quoteType,marketCap,sharesOutstanding,exchange,bookValue,longName,shortName,trailingPE,trailingAnnualDividendYield
2739,IPA,EQUITY,100840144.0,19429700.0,NGM,2.627,ImmunoPrecise Antibodies Ltd.,ImmunoPrecise Antibodies Ltd.,,
2740,IPAR,EQUITY,2824317184.0,31733900.0,NMS,18.462,"Inter Parfums, Inc.","Inter Parfums, Inc.",27.292242,0.008517887
2741,IPAX,EQUITY,319527744.0,32975000.0,NCM,0.129,Inflection Point Acquisition Corp.,Inflection Point Acquisition Co,,
2742,IPAXU,EQUITY,,,NCM,0.129,Inflection Point Acquisition Corp.,Inflection Point Acquisition Co,,
2743,IPAXW,EQUITY,,,NCM,0.129,Inflection Point Acquisition Corp.,Inflection Point Acquisition Corp. Warrants,,
2744,IPDN,EQUITY,16067300.0,16067300.0,NCM,0.241,"Professional Diversity Network, Inc.","Professional Diversity Network,",,
2745,IPGP,EQUITY,5857581568.0,53308900.0,NMS,51.39,IPG Photonics Corporation,IPG Photonics Corporation,22.567263,
2746,IPHA,EQUITY,285777824.0,79310896.0,NMS,1.69,Innate Pharma S.A.,Innate Pharma S.A.,,
2747,IPKW,ETF,,,NGM,,Invesco International BuyBack Achievers ETF,Invesco International BuyBack A,,
2748,IPSC,EQUITY,669357120.0,54641400.0,NMS,7.741,"Century Therapeutics, Inc.","Century Therapeutics, Inc.",,
2749,IPVI,EQUITY,350390624.0,28750000.0,NCM,-0.514,InterPrivate IV InfraTech Partners Inc.,InterPrivate IV InfraTech Partn,,
2750,IPVIU,EQUITY,,,NCM,-0.514,InterPrivate IV InfraTech Partners Inc.,InterPrivate IV InfraTech Partn,,
2751,IPVIW,EQUITY,,,NCM,,InterPrivate IV InfraTech Partners Inc.,InterPrivate IV InfraTech Partners Inc. Warrant,,
2752,IPW,EQUITY,41859256.0,26493200.0,NCM,0.982,iPower Inc.,iPower Inc.,,
2753,IPWR,EQUITY,53323052.0,5892050.0,NCM,4.309,Ideal Power Inc.,Ideal Power Inc.,,
2754,IQ,EQUITY,3772782336.0,789284992.0,NMS,8.249,"iQIYI, Inc.","iQIYI, Inc.",,
2755,IQMD,EQUITY,282932992.0,23175000.0,NGM,0.001,Intelligent Medicine Acquisition Corp.,Intelligent Medicine Acquisitio,,
2756,IQMDU,EQUITY,278463936.0,0.0,NGM,0.001,Intelligent Medicine Acquisition Corp.,Intelligent Medicine Acquisitio,,
2757,IQMDW,EQUITY,,,NGM,0.001,Intelligent Medicine Acquisition Corp.,Intelligent Medicine Acquisition Corp. Warrant,,
2758,IRBT,EQUITY,1711043328.0,26958300.0,NMS,27.474,iRobot Corporation,iRobot Corporation,24.13308,
2759,IRCP,EQUITY,349099776.0,135310000.0,NMS,572.636,IRSA Propiedades Comerciales S.A.,IRSA Propiedades Comerciales S.,,0.07773437
2760,IRDM,EQUITY,5520755200.0,132202000.0,NMS,9.999,Iridium Communications Inc.,Iridium Communications Inc,,
2761,IREN,EQUITY,869570368.0,55036100.0,NMS,-35.266,Iris Energy Limited,Iris Energy Limited,,
2762,IRIX,EQUITY,73934160.0,15865700.0,NGM,1.596,IRIDEX Corporation,IRIDEX Corporation,,
2763,IRMD,EQUITY,565131008.0,12341800.0,NCM,5.501,IRadimed Corporation,iRadimed Corporation,95.395836,
2764,IROQ,EQUITY,77605040.0,3253880.0,NCM,28.133,"IF Bancorp, Inc.","IF Bancorp, Inc.",12.480377,0.013649727
2765,IRTC,EQUITY,4786711040.0,29425900.0,NMS,10.055,"iRhythm Technologies, Inc.","iRhythm Technologies, Inc.",,
2766,IRWD,EQUITY,2052171008.0,163650000.0,NMS,3.549,"Ironwood Pharmaceuticals, Inc.","Ironwood Pharmaceuticals, Inc.",3.8632162,
2767,ISAA,EQUITY,220408000.0,17870800.0,NCM,0.042,Iron Spark I Inc.,Iron Spark I Inc.,,
2768,ISBC,EQUITY,3612136704.0,247746000.0,NMS,12.029,"Investors Bancorp, Inc.","Investors Bancorp, Inc.",11.673339,0.037508372
2769,ISDX,ETF,,,NGM,,Invesco RAFI Strategic Developed ex-US ETF,Invesco RAFI Strategic Develope,,
2770,ISEE,EQUITY,2039463552.0,114641000.0,NMS,2.173,"IVERIC bio, Inc.","IVERIC bio, Inc.",,
2771,ISEM,ETF,,,NGM,,Invesco RAFI Strategic Emerging Markets ETF,Invesco RAFI Strategic Emerging,,
2772,ISHG,ETF,,,NGM,,iShares 1-3 Year International Treasury Bond ETF,iShares 1-3 Year International ,,
2773,ISHP,ETF,,,NGM,,,First Trust S-Network E-Commerc,,
2774,ISIG,EQUITY,22437316.0,1768110.0,NCM,2.445,"Insignia Systems, Inc.","Insignia Systems, Inc.",,
2775,ISLE,EQUITY,259188112.0,26191200.0,NCM,-0.324,Isleworth Healthcare Acquisition Corp.,Isleworth Healthcare Acquisitio,,
2776,ISLEW,EQUITY,,,NCM,,Isleworth Healthcare Acquisition Corp.,Isleworth Healthcare Acquisitio,,
2777,ISO,EQUITY,130109360.0,38954900.0,NMS,-48.032,IsoPlexis Corporation,IsoPlexis Corporation,,
2778,ISPC,EQUITY,42425516.0,8729530.0,NCM,1.736,iSpecimen Inc.,iSpecimen Inc.,,
2779,ISPO,EQUITY,,,NGM,,Inspirato Incorporated,Inspirato Incorporated,,
2780,ISPOW,EQUITY,,,NGM,,Inspirato Incorporated,,,
2781,ISRG,EQUITY,109150191616.0,357236992.0,NMS,31.945,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",65.87753,
2782,ISSC,EQUITY,140040768.0,17246400.0,NMS,1.426,"Innovative Solutions and Support, Inc.",Innovative Solutions and Suppor,28.0,
2783,ISTB,ETF,,,NGM,,iShares Trust - iShares Core 1-5 Year USD Bond ETF,iShares Core 1-5 Year USD Bond ,,
2784,ISTR,EQUITY,195699024.0,10343500.0,NGM,22.848,Investar Holding Corporation,Investar Holding Corporation,36.666668,0.015191199
2785,ISUN,EQUITY,44865028.0,11050500.0,NCM,4.082,"iSun, Inc.","iSun, Inc.",,
2786,ITAQ,EQUITY,,,NGM,,"Industrial Tech Acquisitions II, Inc.",Industrial Tech Acquisitions II,,
2787,ITAQU,EQUITY,,,NGM,,"Industrial Tech Acquisitions II, Inc.",Industrial Tech Acquisitions II,,
2788,ITAQW,EQUITY,,,NMS,,"Industrial Tech Acquisitions II, Inc.",Industrial Tech Acquisitions II,,
2789,ITCI,EQUITY,5106119168.0,81463296.0,NMS,5.981,"Intra-Cellular Therapies, Inc.",Intra-Cellular Therapies Inc.,,
2790,ITHX,EQUITY,304921504.0,24825000.0,NCM,-0.534,ITHAX Acquisition Corp.,ITHAX Acquisition Corp.,,
2791,ITHXU,EQUITY,,,NCM,-0.534,ITHAX Acquisition Corp.,ITHAX Acquisition Corp.,,
