index,ticker,quoteType,marketCap,sharesOutstanding,exchange,bookValue,longName,shortName,trailingPE,trailingAnnualDividendYield
219,HES,EQUITY,32989024256.0,309727008.0,NYQ,18.222,Hess Corporation,Hess Corporation,168.26224,0.00938879
220,HIG,EQUITY,24796418048.0,340352992.0,NYQ,51.284,"The Hartford Financial Services Group, Inc.",Hartford Financial Services Gro,12.124314,0.01919319
221,HII,EQUITY,8041645056.0,40061000.0,NYQ,54.589,"Huntington Ingalls Industries, Inc.","Huntington Ingalls Industries, ",12.043138,0.022397956
222,HLT,EQUITY,43249291264.0,278721984.0,NYQ,-4.047,Hilton Worldwide Holdings Inc.,Hilton Worldwide Holdings Inc.,1108.3572,0.0
223,HOLX,EQUITY,19113023488.0,251420992.0,NMS,16.631,"Hologic, Inc.","Hologic, Inc.",10.543689,
224,HON,EQUITY,135302643712.0,688422976.0,NMS,25.917,Honeywell International Inc.,Honeywell International Inc.,25.294722,0.019107299
225,HPE,EQUITY,22661197824.0,1293440000.0,NYQ,15.422,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise Comp,6.7907367,0.028152494
226,HPQ,EQUITY,42967744512.0,1082720000.0,NYQ,-1.511,HP Inc.,HP Inc.,7.4455914,0.020114196
227,HRL,EQUITY,27421487104.0,542569984.0,NYQ,12.855,Hormel Foods Corporation,Hormel Foods Corporation,30.445784,0.019498609
228,HSIC,EQUITY,12258782208.0,138674000.0,NMS,24.854,"Henry Schein, Inc.","Henry Schein, Inc.",20.122923,
229,HST,EQUITY,14080770048.0,714035008.0,NMS,8.573,"Host Hotels & Resorts, Inc.",Host Hotels,,0.0
230,HSY,EQUITY,44113694720.0,145390000.0,NYQ,12.274,The Hershey Company,The Hershey Company,31.08885,0.015683582
231,HUM,EQUITY,56195067904.0,128534000.0,NYQ,126.503,Humana Inc.,Humana Inc.,21.31747,0.0062297103
232,HWM,EQUITY,15695989760.0,427217984.0,NYQ,8.234,Howmet Aerospace Inc.,Howmet Aerospace Inc.,55.58245,0.00054024847
233,IBM,EQUITY,118116966400.0,896320000.0,NYQ,24.786,International Business Machines Corporation,International Business Machines,24.944143,0.050599612
234,ICE,EQUITY,74751885312.0,563404032.0,NYQ,38.361,"Intercontinental Exchange, Inc.",Intercontinental Exchange Inc.,24.475004,0.009549189
